Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales,Sales_Performance
Art & Sculpture,2,64,0,0,64,Low
Art & Sculpture,2,64,0,0,64,Low
Jewelry,2,64,0,0,64,Low
Home Decor,1,64,0,0,64,Low
Christmas,3,66,-2.2,0,63.8,Low
Art & Sculpture,3,66,-2.2,0,63.8,Low
Soapstone,2,68,-5.1,0,62.9,Low
Basket,2,98,-3.4,-32,62.6,Low
Christmas,3,65,-2.5,0,62.5,Low
Jewelry,1,62,0,0,62,Low
Home Decor,1,62,0,0,62,Low
Jewelry,2,62,0,0,62,Low
Basket,1,62,0,0,62,Low
Christmas,3,66,-4.4,0,61.6,Low
Kitchen,1,68,-6.8,0,61.2,Low
Basket,1,68,-6.8,0,61.2,Low
Kids,2,68,-6.8,0,61.2,Low
Home Decor,1,68,-6.8,0,61.2,Low
Home Decor,1,68,-6.8,0,61.2,Low
Jewelry,2,68,-6.8,0,61.2,Low
Art & Sculpture,1,68,-6.8,0,61.2,Low
Soapstone,2,64,-3.2,0,60.8,Low
Jewelry,2,64,-3.2,0,60.8,Low
Home Decor,2,76,-15.2,0,60.8,Low
Home Decor,2,76,-15.2,0,60.8,Low
Jewelry,2,64,-3.21,0,60.79,Low
Kitchen,6,66,-5.24,0,60.76,Low
Art & Sculpture,3,66,-5.5,0,60.5,Low
Home Decor,1,60,0,0,60,Low
Home Decor,1,120,-6,-54,60,Low
Soapstone,3,60,0,0,60,Low
Fair Trade Gifts,2,60,0,0,60,Low
Basket,1,66,-6.6,0,59.4,Low
Art & Sculpture,3,66,-6.6,0,59.4,Low
Home Decor,1,74,-14.79,0,59.21,Low
Basket,2,62,-2.8,0,59.2,Low
Home Decor,1,74,-14.8,0,59.2,Low
Home Decor,1,74,-14.8,0,59.2,Low
Soapstone,4,64,-4.8,0,59.2,Low
Kitchen,3,58.5,0,0,58.5,Low
Home Decor,1,58.5,0,0,58.5,Low
Jewelry,1,58,0,0,58,Low
Accessories,1,58,0,0,58,Low
Basket,1,58,0,0,58,Low
Accessories,1,58,0,0,58,Low
Jewelry,1,58,0,0,58,Low
Basket,1,58,0,0,58,Low
Basket,1,58,0,0,58,Low
Jewelry,1,58,0,0,58,Low
Jewelry,1,58,0,0,58,Low
Basket,1,58,0,0,58,Low
Basket,1,290,0,-232,58,Low
Accessories,1,58,0,0,58,Low
Home Decor,1,58,0,0,58,Low
Basket,1,58,0,0,58,Low
Accessories,1,58,0,0,58,Low
Kitchen,5,64,-6,0,58,Low
Basket,1,58,0,0,58,Low
Basket,1,58,0,0,58,Low
Basket,1,58,0,0,58,Low
Kitchen,1,58,0,0,58,Low
Basket,1,58,0,0,58,Low
Basket,1,72,-14.4,0,57.6,Low
Soapstone,2,60,-3.8,0,56.2,Low
Soapstone,3,64,-7.8,0,56.2,Low
Kitchen,2,56,0,0,56,Low
Basket,2,56,0,0,56,Low
Accessories,2,56,0,0,56,Low
Kitchen,2,84,0,-28,56,Low
Art & Sculpture,2,56,0,0,56,Low
Recycled Art,2,56,0,0,56,Low
Kids,3,56,0,0,56,Low
Kitchen,2,56,0,0,56,Low
Art & Sculpture,2,56,0,0,56,Low
Jewelry,2,56,0,0,56,Low
Jewelry,2,56,0,0,56,Low
Basket,2,56,0,0,56,Low
Basket,2,56,0,0,56,Low
Soapstone,2,56,0,0,56,Low
Jewelry,2,56,0,0,56,Low
Christmas,4,56,0,0,56,Low
Jewelry,2,56,0,0,56,Low
Christmas,2,56,0,0,56,Low
Jewelry,2,56,0,0,56,Low
Kitchen,1,56,0,0,56,Low
Kitchen,2,56,0,0,56,Low
Art & Sculpture,4,56,0,0,56,Low
Kids,2,56,0,0,56,Low
Kitchen,4,56,0,0,56,Low
Kitchen,2,56,0,0,56,Low
Jewelry,2,56,0,0,56,Low
Art & Sculpture,2,56,0,0,56,Low
Jewelry,2,56,0,0,56,Low
Jewelry,2,56,0,0,56,Low
Kitchen,2,56,0,0,56,Low
Skin Care,3,55.5,0,0,55.5,Low
Art & Sculpture,3,57,-1.9,0,55.1,Low
Jewelry,4,60,-5,0,55,Low
Basket,3,60,-5,0,55,Low
Art & Sculpture,1,68,-13.6,0,54.4,Low
Basket,1,68,-13.6,0,54.4,Low
Basket,1,68,-13.6,0,54.4,Low
Art & Sculpture,1,54,0,0,54,Low
Kitchen,3,54,0,0,54,Low
Jewelry,3,54,0,0,54,Low
Soapstone,3,54,0,0,54,Low
Kids,3,54,0,0,54,Low
Jewelry,1,54,0,0,54,Low
Kitchen,3,54,0,0,54,Low
Christmas,3,54,0,0,54,Low
Art & Sculpture,3,54,0,0,54,Low
Kids,2,56,-2.8,0,53.2,Low
Kitchen,2,56,-2.8,0,53.2,Low
Soapstone,2,56,-2.8,0,53.2,Low
Home Decor,2,56,-2.8,0,53.2,Low
Art & Sculpture,1,58,-5,0,53,Low
Home Decor,2,78.75,0,-26.25,52.5,Low
Basket,1,58,-5.8,0,52.2,Low
Basket,1,58,-5.8,0,52.2,Low
Jewelry,3,54,-1.8,0,52.2,Low
Jewelry,3,54,-1.8,0,52.2,Low
Art & Sculpture,3,54,-1.8,0,52.2,Low
Art & Sculpture,1,58,-5.81,0,52.19,Low
Jewelry,3,54,-1.81,0,52.19,Low
Basket,2,58,-6,0,52,Low
Art & Sculpture,1,52,0,0,52,Low
Furniture,1,64,-12.8,0,51.2,Low
Home Decor,2,56,-5.6,0,50.4,Low
Art & Sculpture,1,56,-5.6,0,50.4,Low
Art & Sculpture,3,54,-3.6,0,50.4,Low
Jewelry,2,56,-5.6,0,50.4,Low
Home Decor,1,50,0,0,50,Low
Art & Sculpture,2,50,0,0,50,Low
Soapstone,5,50,0,0,50,Low
Kids,3,49.5,0,0,49.5,Low
Kids,3,49.5,0,0,49.5,Low
Kitchen,5,52.5,-3.15,0,49.35,Low
Art & Sculpture,3,49.3,0,0,49.3,Low
Recycled Art,2,49,0,0,49,Low
Basket,1,54,-5.4,0,48.6,Low
Basket,1,48,0,0,48,Low
Fair Trade Gifts,1,48,0,0,48,Low
Art & Sculpture,1,48,0,0,48,Low
Music,1,48,0,0,48,Low
Accessories,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Art & Sculpture,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Jewelry,1,48,0,0,48,Low
Jewelry,2,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Jewelry,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Home Decor,2,48,0,0,48,Low
Recycled Art,1,48,0,0,48,Low
Jewelry,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Kitchen,2,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Fair Trade Gifts,4,48,0,0,48,Low
Music,2,48,0,0,48,Low
Jewelry,1,48,0,0,48,Low
Accessories,1,48,0,0,48,Low
Accessories,1,48,0,0,48,Low
Jewelry,2,48,0,0,48,Low
Basket,3,48,0,0,48,Low
Jewelry,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Art & Sculpture,1,48,0,0,48,Low
Art & Sculpture,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Music,2,48,0,0,48,Low
Jewelry,1,48,0,0,48,Low
Art & Sculpture,1,48,0,0,48,Low
Art & Sculpture,2,48,0,0,48,Low
Jewelry,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Kitchen,1,48,0,0,48,Low
Jewelry,2,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Basket,1,48,0,0,48,Low
Christmas,2,48,0,0,48,Low
Basket,1,48,-1.19,0,46.81,Low
Fair Trade Gifts,2,52,-5.2,0,46.8,Low
Basket,1,58,-11.6,0,46.4,Low
Basket,1,58,-11.6,0,46.4,Low
Accessories,1,58,-11.6,0,46.4,Low
Furniture,1,46,0,0,46,Low
Soapstone,2,46,0,0,46,Low
Basket,1,46,0,0,46,Low
Textiles,2,48,-2.4,0,45.6,Low
Kitchen,2,50,-4.57,0,45.43,Low
Art & Sculpture,3,45,0,0,45,Low
Art & Sculpture,1,45,0,0,45,Low
Art & Sculpture,1,45,0,0,45,Low
Home Decor,1,45,0,0,45,Low
Art & Sculpture,1,45,0,0,45,Low
Jewelry,2,56,-11.2,0,44.8,Low
Jewelry,2,56,-11.2,0,44.8,Low
Music,3,46,-1.4,0,44.6,Low
Basket,1,44,0,0,44,Low
Accessories,1,44,0,0,44,Low
Art & Sculpture,1,44,0,0,44,Low
Art & Sculpture,1,44,0,0,44,Low
Basket,1,44,0,0,44,Low
Accessories,1,44,0,0,44,Low
Basket,1,44,0,0,44,Low
Kids,2,44,0,0,44,Low
Kitchen,1,88,0,-44,44,Low
Music,2,44,0,0,44,Low
Christmas,1,44,0,0,44,Low
Soapstone,2,44,0,0,44,Low
Recycled Art,1,44,0,0,44,Low
Basket,1,44,0,0,44,Low
Art & Sculpture,2,44,0,0,44,Low
Basket,1,44,0,0,44,Low
Kitchen,2,44,0,0,44,Low
Jewelry,2,44,0,0,44,Low
Art & Sculpture,1,44,0,0,44,Low
Art & Sculpture,2,44,0,0,44,Low
Accessories,2,44,0,0,44,Low
Kitchen,2,44,0,0,44,Low
Kids,3,45,-1.36,0,43.64,Low
Basket,1,48,-4.8,0,43.2,Low
Art & Sculpture,2,48,-4.8,0,43.2,Low
Kitchen,1,48,-4.8,0,43.2,Low
Art & Sculpture,3,43.2,0,0,43.2,Low
Fair Trade Gifts,1,48,-4.8,0,43.2,Low
Basket,1,48,-4.8,0,43.2,Low
Kitchen,1,96,-4.8,-48,43.2,Low
Basket,1,48,-4.8,0,43.2,Low
Jewelry,1,48,-4.8,0,43.2,Low
Kitchen,4,48,-4.8,0,43.2,Low
Basket,1,44,-1.08,0,42.92,Low
Art & Sculpture,1,45,-2.5,0,42.5,Low
Home Decor,1,42,0,0,42,Low
Jewelry,1,42,0,0,42,Low
Basket,1,42,0,0,42,Low
Kitchen,2,42,0,0,42,Low
Basket,1,42,0,0,42,Low
Art & Sculpture,1,42,0,0,42,Low
Art & Sculpture,2,42,0,0,42,Low
Art & Sculpture,1,42,0,0,42,Low
Christmas,3,42,0,0,42,Low
Jewelry,1,42,0,0,42,Low
Accessories,1,42,0,0,42,Low
Basket,1,42,0,0,42,Low
Art & Sculpture,1,42,0,0,42,Low
Jewelry,3,70,0,-28,42,Low
Art & Sculpture,1,42,0,0,42,Low
Art & Sculpture,2,44,-2.2,0,41.8,Low
Art & Sculpture,2,44,-2.2,0,41.8,Low
Home Decor,1,41.6,0,0,41.6,Low
Basket,1,46,-4.6,0,41.4,Low
Basket,1,92,-4.6,-46,41.4,Low
Basket,1,46,-4.6,0,41.4,Low
Basket,1,46,-4.6,0,41.4,Low
Basket,1,46,-4.6,0,41.4,Low
Art & Sculpture,1,45,-4.49,0,40.51,Low
Art & Sculpture,1,45,-4.5,0,40.5,Low
Art & Sculpture,1,45,-4.5,0,40.5,Low
Home Decor,1,45,-4.51,0,40.49,Low
Home Decor,2,40,0,0,40,Low
Art & Sculpture,2,40,0,0,40,Low
Kids,2,40,0,0,40,Low
Art & Sculpture,2,44,-4.4,0,39.6,Low
Jewelry,1,44,-4.4,0,39.6,Low
Art & Sculpture,1,44,-4.4,0,39.6,Low
Fair Trade Gifts,1,44,-4.4,0,39.6,Low
Basket,1,44,-4.41,0,39.59,Low
Kitchen,1,39,0,0,39,Low
Kitchen,1,39,0,0,39,Low
Home Decor,2,40,-1.9,0,38.1,Low
Art & Sculpture,1,38,0,0,38,Low
Recycled Art,1,38,0,0,38,Low
Basket,1,38,0,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Home Decor,1,114,-7.6,-68.4,38,Low
Art & Sculpture,1,38,0,0,38,Low
Jewelry,1,38,0,0,38,Low
Basket,1,38,0,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Jewelry,1,38,0,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Home Decor,1,38,0,0,38,Low
Basket,1,38,0,0,38,Low
Music,1,38,0,0,38,Low
Music,2,40,-2,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Jewelry,1,38,0,0,38,Low
Jewelry,1,38,0,0,38,Low
Home Decor,1,38,0,0,38,Low
Jewelry,1,38,0,0,38,Low
Home Decor,1,38,0,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Jewelry,1,38,0,0,38,Low
Furniture,1,38,0,0,38,Low
Basket,1,38,0,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Kids,1,38,0,0,38,Low
Art & Sculpture,1,38,0,0,38,Low
Art & Sculpture,1,42,-4.19,0,37.81,Low
Basket,1,42,-4.2,0,37.8,Low
Home Decor,2,42,-4.2,0,37.8,Low
Home Decor,1,42,-4.2,0,37.8,Low
Basket,1,40.6,-4.06,0,36.54,Low
Christmas,2,40,-3.88,0,36.12,Low
Art & Sculpture,2,38,-1.9,0,36.1,Low
Art & Sculpture,2,36,0,0,36,Low
Christmas,2,36,0,0,36,Low
Soapstone,2,36,0,0,36,Low
Jewelry,2,36,0,0,36,Low
Kitchen,2,36,0,0,36,Low
Art & Sculpture,2,36,0,0,36,Low
Soapstone,2,36,0,0,36,Low
Kitchen,2,36,0,0,36,Low
Christmas,2,36,0,0,36,Low
Soapstone,1,36,0,0,36,Low
Kitchen,1,36,0,0,36,Low
Kitchen,2,36,0,0,36,Low
Fair Trade Gifts,2,36,0,0,36,Low
Art & Sculpture,1,36,0,0,36,Low
Fair Trade Gifts,1,36,0,0,36,Low
Basket,1,48,-12,0,36,Low
Christmas,2,36,0,0,36,Low
Art & Sculpture,1,36,0,0,36,Low
Kitchen,2,36,0,0,36,Low
Art & Sculpture,2,36,0,0,36,Low
Christmas,2,36,0,0,36,Low
Kitchen,2,36,0,0,36,Low
Art & Sculpture,2,36,0,0,36,Low
Kitchen,2,36,0,0,36,Low
Jewelry,3,36,0,0,36,Low
Kitchen,1,36,0,0,36,Low
Basket,1,69.75,0,-34,35.75,Low
Basket,1,44,-8.8,0,35.2,Low
Kitchen,1,39,-3.9,0,35.1,Low
Art & Sculpture,2,36,-1.16,0,34.84,Low
Music,2,37,-2.4,0,34.6,Low
Art & Sculpture,2,36,-1.8,0,34.2,Low
Kitchen,2,36,-1.8,0,34.2,Low
Recycled Art,1,38,-3.8,0,34.2,Low
Art & Sculpture,1,38,-3.8,0,34.2,Low
Art & Sculpture,2,36,-1.8,0,34.2,Low
Art & Sculpture,1,38,-3.8,0,34.2,Low
Home Decor,1,38,-3.8,0,34.2,Low
Easter,1,38,-3.8,0,34.2,Low
Home Decor,1,38,-3.8,0,34.2,Low
Jewelry,1,34,0,0,34,Low
Basket,1,44,-10,0,34,Low
Kids,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Kids,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Jewelry,1,34,0,0,34,Low
Home Decor,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Jewelry,1,34,0,0,34,Low
Home Decor,1,34,0,0,34,Low
Accessories,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Jewelry,1,34,0,0,34,Low
Jewelry,1,34,0,0,34,Low
Kids,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Soapstone,1,34,0,0,34,Low
Kids,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Jewelry,1,34,0,0,34,Low
Art & Sculpture,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Art & Sculpture,1,34,0,0,34,Low
Basket,1,34,0,0,34,Low
Art & Sculpture,2,36,-2.1,0,33.9,Low
Furniture,1,45,-11.25,0,33.75,Low
Kitchen,3,34.5,-1.05,0,33.45,Low
Art & Sculpture,1,36,-3.6,0,32.4,Low
Art & Sculpture,2,36,-3.6,0,32.4,Low
Christmas,1,36,-3.6,0,32.4,Low
Art & Sculpture,1,32,0,0,32,Low
Art & Sculpture,1,32,0,0,32,Low
Art & Sculpture,1,32,0,0,32,Low
Kids,2,32,0,0,32,Low
Kids,1,32,0,0,32,Low
Art & Sculpture,1,32,0,0,32,Low
Kids,1,32,0,0,32,Low
Jewelry,2,32,0,0,32,Low
Art & Sculpture,1,32,0,0,32,Low
Art & Sculpture,1,32,0,0,32,Low
Soapstone,2,32,0,0,32,Low
Music,1,32,0,0,32,Low
Kitchen,1,32,0,0,32,Low
Kids,1,32,0,0,32,Low
Art & Sculpture,1,32,0,0,32,Low
Jewelry,1,32,0,0,32,Low
Art & Sculpture,1,32,0,0,32,Low
Kids,2,32,0,0,32,Low
Kitchen,1,32,0,0,32,Low
Kitchen,1,32,0,0,32,Low
Soapstone,1,32,0,0,32,Low
Soapstone,2,32,0,0,32,Low
Kitchen,1,31.5,0,0,31.5,Low
Kids,2,31.5,0,0,31.5,Low
Kids,2,31.5,0,0,31.5,Low
Kids,2,31.5,0,0,31.5,Low
Art & Sculpture,1,36,-5,0,31,Low
Soapstone,1,34,-3.4,0,30.6,Low
Basket,1,34,-3.4,0,30.6,Low
Christmas,1,34,-3.4,0,30.6,Low
Jewelry,1,34,-3.4,0,30.6,Low
Kids,1,34,-3.4,0,30.6,Low
Music,2,34,-3.4,0,30.6,Low
Kids,1,34,-3.41,0,30.59,Low
Home Decor,1,76,-7.6,-38,30.4,Low
Jewelry,1,32,-1.6,0,30.4,Low
Kids,1,30,0,0,30,Low
Kitchen,2,30,0,0,30,Low
Kids,1,30,0,0,30,Low
Jewelry,1,30,0,0,30,Low
Kids,1,30,0,0,30,Low
Soapstone,2,30,0,0,30,Low
Fair Trade Gifts,1,30,0,0,30,Low
Basket,1,34,-5.1,0,28.9,Low
Kitchen,3,31.5,-2.62,0,28.88,Low
Kitchen,1,32,-3.2,0,28.8,Low
Kids,1,32,-3.2,0,28.8,Low
Basket,2,34,-5.2,0,28.8,Low
Accessories,1,32,-3.2,0,28.8,Low
Home Decor,1,32,-3.2,0,28.8,Low
Jewelry,1,32,-3.2,0,28.8,Low
Basket,1,70,-7.2,-34,28.8,Low
Kids,1,32,-3.2,0,28.8,Low
Jewelry,1,28.5,0,0,28.5,Low
Art & Sculpture,1,28,0,0,28,Low
Basket,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Kitchen,1,28,0,0,28,Low
Kitchen,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Soapstone,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Art & Sculpture,1,28,0,0,28,Low
Accessories,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Kitchen,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Christmas,1,28,0,0,28,Low
Art & Sculpture,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Basket,1,28,0,0,28,Low
Basket,1,28,0,0,28,Low
Basket,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Kitchen,1,28,0,0,28,Low
Basket,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Basket,1,28,0,0,28,Low
Basket,1,28,0,0,28,Low
Art & Sculpture,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Kitchen,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Soapstone,1,28,0,0,28,Low
Soapstone,1,28,0,0,28,Low
Fair Trade Gifts,1,28,0,0,28,Low
Accessories,1,28,0,0,28,Low
Jewelry,1,28,0,0,28,Low
Kids,1,28,0,0,28,Low
Basket,1,28,0,0,28,Low
Jewelry,1,68,-13.6,-27.2,27.2,Low
Jewelry,1,34,-6.8,0,27.2,Low
Kids,1,32,-4.81,0,27.19,Low
Kids,1,30,-3,0,27,Low
Kids,1,30,-3,0,27,Low
Jewelry,1,28,-1.85,0,26.15,Low
Jewelry,1,26,0,0,26,Low
Art & Sculpture,1,25.6,0,0,25.6,Low
Recycled Art,1,28,-2.8,0,25.2,Low
Basket,1,56,-2.8,-28,25.2,Low
Soapstone,1,28,-2.8,0,25.2,Low
Kids,1,28,-2.8,0,25.2,Low
Kitchen,1,28,-2.8,0,25.2,Low
Jewelry,1,28,-2.8,0,25.2,Low
Kitchen,1,28,-2.8,0,25.2,Low
Kitchen,1,28,-2.8,0,25.2,Low
Basket,1,84,-2.8,-56,25.2,Low
Basket,1,28,-2.81,0,25.19,Low
Art & Sculpture,2,26.4,-1.32,0,25.08,Low
Fair Trade Gifts,1,25,0,0,25,Low
Recycled Art,1,25,0,0,25,Low
Art & Sculpture,1,24,0,0,24,Low
Jewelry,1,24,0,0,24,Low
Basket,1,24,0,0,24,Low
Soapstone,1,24,0,0,24,Low
Soapstone,1,24,0,0,24,Low
Kitchen,1,24,0,0,24,Low
Fair Trade Gifts,2,24,0,0,24,Low
Jewelry,1,24,0,0,24,Low
Art & Sculpture,1,24,0,0,24,Low
Textiles,1,24,0,0,24,Low
Art & Sculpture,1,24,0,0,24,Low
Kitchen,1,24,0,0,24,Low
Kitchen,1,24,0,0,24,Low
Kids,1,24,0,0,24,Low
Basket,1,24,0,0,24,Low
Art & Sculpture,1,24,0,0,24,Low
Accessories,1,24,0,0,24,Low
Fair Trade Gifts,2,24,0,0,24,Low
Fair Trade Gifts,1,24,0,0,24,Low
Basket,1,28,-4.52,0,23.48,Low
Art & Sculpture,1,26,-2.59,0,23.41,Low
Art & Sculpture,1,26,-2.6,0,23.4,Low
Kitchen,1,24,-1.39,0,22.61,Low
Jewelry,1,28,-5.6,0,22.4,Low
Jewelry,1,22,0,0,22,Low
Kitchen,1,22,0,0,22,Low
Jewelry,1,22,0,0,22,Low
Kitchen,1,22,0,0,22,Low
Jewelry,1,22,0,0,22,Low
Jewelry,1,22,0,0,22,Low
Music,1,22,0,0,22,Low
Art & Sculpture,1,22,0,0,22,Low
Soapstone,1,22,0,0,22,Low
Art & Sculpture,1,22,0,0,22,Low
Fair Trade Gifts,1,22,0,0,22,Low
Art & Sculpture,1,22,0,0,22,Low
Kitchen,1,22,0,0,22,Low
Christmas,1,22,0,0,22,Low
Art & Sculpture,1,22,0,0,22,Low
Accessories,1,22,0,0,22,Low
Art & Sculpture,1,24,-2.4,0,21.6,Low
Home Decor,1,24,-2.4,0,21.6,Low
Kids,1,24,-2.4,0,21.6,Low
Soapstone,1,24,-2.4,0,21.6,Low
Kitchen,2,22.5,-1.05,0,21.45,Low
Recycled Art,1,25,-3.75,0,21.25,Low
Fair Trade Gifts,1,25,-3.75,0,21.25,Low
Soapstone,1,21,0,0,21,Low
Soapstone,2,20,0,0,20,Low
Jewelry,2,20,0,0,20,Low
Christmas,1,20,0,0,20,Low
Music,1,20,0,0,20,Low
Kitchen,1,22,-2.2,0,19.8,Low
Kitchen,1,22,-2.2,0,19.8,Low
Jewelry,1,22,-2.21,0,19.79,Low
Gift Baskets,1,19.5,0,0,19.5,Low
Skin Care,1,18.5,0,0,18.5,Low
Skin Care,1,18.5,0,0,18.5,Low
Kids,1,18,0,0,18,Low
Kids,1,18,0,0,18,Low
Christmas,1,18,0,0,18,Low
Kids,1,18,0,0,18,Low
Art & Sculpture,1,18,0,0,18,Low
Art & Sculpture,1,18,0,0,18,Low
Christmas,1,18,0,0,18,Low
Kitchen,1,18,0,0,18,Low
Art & Sculpture,1,18,0,0,18,Low
Soapstone,1,18,0,0,18,Low
Art & Sculpture,1,18,0,0,18,Low
Art & Sculpture,1,18,0,0,18,Low
Christmas,1,18,0,0,18,Low
Kitchen,1,18,0,0,18,Low
Christmas,1,18,0,0,18,Low
Soapstone,1,18,0,0,18,Low
Kids,1,18,0,0,18,Low
Christmas,1,18,0,0,18,Low
Kitchen,1,18,0,0,18,Low
Jewelry,1,18,0,0,18,Low
Fair Trade Gifts,1,18,0,0,18,Low
Kids,1,18,0,0,18,Low
Kitchen,1,18,0,0,18,Low
Jewelry,1,18,0,0,18,Low
Kitchen,1,18,0,0,18,Low
Home Decor,1,18,0,0,18,Low
Art & Sculpture,1,18,0,0,18,Low
Soapstone,1,18,0,0,18,Low
Art & Sculpture,1,18,0,0,18,Low
Kids,1,18,0,0,18,Low
Kitchen,1,18,0,0,18,Low
Jewelry,1,18,0,0,18,Low
Jewelry,1,18,0,0,18,Low
Art & Sculpture,1,18,0,0,18,Low
Kitchen,1,18,0,0,18,Low
Soapstone,1,18,0,0,18,Low
Skin Care,1,18.5,-1.85,0,16.65,Low
Music,1,16.5,0,0,16.5,Low
Kitchen,1,16.5,0,0,16.5,Low
Kitchen,1,18,-1.8,0,16.2,Low
Soapstone,1,18,-1.8,0,16.2,Low
Music,1,18,-1.8,0,16.2,Low
Kitchen,1,18,-1.8,0,16.2,Low
Music,1,18,-1.8,0,16.2,Low
Christmas,1,18,-1.81,0,16.19,Low
Kids,1,16,0,0,16,Low
Kitchen,1,16,0,0,16,Low
Kitchen,1,16,0,0,16,Low
Music,1,16,0,0,16,Low
Music,1,32,-1.6,-14.4,16,Low
Music,1,16,0,0,16,Low
Kitchen,1,16,0,0,16,Low
Soapstone,1,16,0,0,16,Low
Soapstone,1,18,-2.31,0,15.69,Low
Jewelry,1,16,-1.6,0,14.4,Low
Art & Sculpture,1,16,-1.6,0,14.4,Low
Soapstone,1,18,-3.6,0,14.4,Low
Soapstone,1,14,0,0,14,Low
Art & Sculpture,1,14,0,0,14,Low
Soapstone,1,14,0,0,14,Low
Kitchen,1,14,0,0,14,Low
Jewelry,1,14,0,0,14,Low
Soapstone,1,13.5,0,0,13.5,Low
Art & Sculpture,1,13.2,0,0,13.2,Low
Jewelry,1,12,0,0,12,Low
Soapstone,1,12,0,0,12,Low
Kitchen,1,12,0,0,12,Low
Fair Trade Gifts,1,12,0,0,12,Low
Soapstone,0,26,0,-26,0,Low
Basket,0,34,0,-34,0,Low
Basket,0,48,0,-48,0,Low
Textiles,0,1,0,-1,0,Low
Basket,0,195,0,-195,0,Low
Basket,0,28,0,-28,0,Low
Kitchen,0,32,-3.21,-28.79,0,Low
Christmas,0,380,0,-380,0,Low
Kitchen,0,28,-2.81,-25.19,0,Low
Jewelry,0,28,0,-28,0,Low
Basket,0,116,-23.2,-92.8,0,Low
Kitchen,0,16.5,0,-16.5,0,Low
Kitchen,-1,0,0,-106.25,-106.25,Low
